state,city,N
Indiana,Indianapolis,12
California,San Francisco,9
Illinois,Chicago,5
Texas,Austin,4
California,Fresno,4
California,Los Angeles,4
IN,Newburgh,4
CA,Pomona,3
Minnesota,Saint Paul,3
CA,murrieta,3
CA,San Francisco,3
Virginia,Ashburn,2
Florida,Jacksonville,2
Alabama,Gadsden,2
Illinois,Lakemoor,2
Florida,Lauderhill,2
Texas,Houston,2
Texas,Humble,2
California,Fairfield,2
North Carolina,Raleigh,2
NY,New York,2
TX,Houston,2
Maryland,Rockville,2
North Carolina,Greensboro,2
New York,Bronx,2
NY,Springfield Gardens,2
Oklahoma,Stillwater,2
Connecticut,Shelton,2
IN,Indianapolis,2
New York,Huntington Station,2
FL,Coral Springs,2
Alaska,Ketchikan,2
Arizona,Tempe,2
Michigan,Detroit,2
NY,JAMAICA,1
Louisiana,Slidell,1
Texas,Fort Worth,1
ID,Boise,1
Florida,Winter Haven,1
MD,Owings Mills,1
Maryland,Baltimore,1
il,Chicago,1
New York,Springfield Gardens,1
Texas,Katy,1
Texas,Coppell,1
Maryland,Frederick,1
California,Aliso Viejo,1
TN,ANTIOCH,1
California,South San Francisco,1
Michigan,Delhi charter Township,1
WI,Milwaukee,1
KS,Kansas City,1
KS,Lenexa,1
TN,Knoxville,1
TX,weslaco,1
Kentucky,Louisville,1
Florida,Port St. Lucie,1
Kentucky,Taylor Mill,1
CO,Denver,1
AZ,Queen Creek,1
MD,Lexington Park,1
California,Long Beach,1
California,Portola Valley,1
Texas,Wolfforth,1
Texas,Irving,1
California,San Marcos,1
NJ,Newark,1
North Carolina,Browns Summit,1
Massachusetts,North Easton,1
FL,Panama City Beach,1
MN,saint paul,1
Ohio,Gallipolis,1
Texas,Midland,1
Ohio,Cleveland,1
ILLINOIS,Chicago,1
New York,Middle Village,1
Iowa,North Liberty,1
Illinois,Oak Park,1
Texas,Cedar Hill,1
MA,dartmouth,1
Nebraska,Omaha,1
CA,LAKE FOREST,1
AE,APO,1
California,Grand Terrace,1
CA,Riverside,1
California,San Mateo,1
Texas,Dallas,1
Michigan,Farmington Hills,1
md,hyattsville,1
Minnesota,Minneapolis,1
TX,Fulshear,1
NJ,Hillsborough,1
IL,ELBURN,1
Washington,Seattle,1
WA,Point Roberts,1
TN,Nashville,1
MA,Whitinsville,1
California,Fountain Valley,1
TX,Conroe,1
MD,Lothian,1
NY,Ridgewood,1
CA,Elk Grove,1
New York,Brooklyn,1
Tennessee,Franklin,1
California,Rocklin,1
CA,Sunnyvale,1
Utah,Roy,1
Georgia,Suwanee,1
Oklahoma,Yukon,1
Maryland,Bowie,1
California,Newark,1
AR,Mountain Home,1
Georgia,Cumming,1
WA,Seattle,1
NC,mill spring,1
TX,Dallas,1
California,Modesto,1
AR,Texarkana,1
Florida,Archer,1
Pennsylvania,Philadelphia,1
Nevada,Las Vegas,1
Texas,Laredo,1
Texas,Grand Prairie,1
California,Irvine,1
Pennsylvania,Waynesboro,1
Tennessee,newport,1
AZ,Gilbert,1
VA,Vienna,1
California,San Diego,1
Florida,Orlando,1
CA,Cerritos,1
Washington,BELLEVUE,1
Virginia,Hampton,1
Ohio,Cincinnati,1
California,san jose,1
CA,Los Angeles,1
Iowa,Sioux City,1
New Jersey,South Harrison Township,1
California,Encinitas,1
NJ,Hewitt,1
Indiana,Evansville,1
Iowa,West Des Moines,1
KY,Butler,1
California,Gardena,1
TEXAS,Victoria,1
TX,Arlington,1
California,San Luis Obispo,1
California,Santa Clara,1
Arizona,Phoenix,1
Louisiana,Thibodaux,1
New York,Flushing,1
Arizona,Mesa,1
IL,elgin,1
MI,Chesterfield,1
or,portland,1
Tennessee,Memphis,1
TN,Germantown,1
IN,Evansville,1
Maryland,Hyattsville,1
CA,Redlands,1
GA,Athens,1
Illinois,La Grange,1
Pennsylvania,Bryn Mawr,1
New York,New York,1
AZ,Tucson,1
Virginia,Norfolk,1
CA,Oakland,1
Pennsylvania,Pittsburgh,1
CA,Palo Alto,1
California,Corte Madera,1
