interestAffinityCategory,total sessionDuration/total sessions,total sessionDuration,total sessions
Technology/Technophiles,68.91,41691,605
Media & Entertainment/Movie Lovers,72.82,38886,534
Shoppers/Value Shoppers,80.11,41496,518
Media & Entertainment/Gamers,63.65,30487,479
Media & Entertainment/Music Lovers,66.87,30158,451
Vehicles & Transportation/Auto Enthusiasts,57.81,24975,432
Food & Dining/Fast Food Cravers,68.18,27953,410
Home & Garden/Do-It-Yourselfers,51.97,18554,357
Sports & Fitness/Sports Fans,63.05,20995,333
Media & Entertainment/Gamers/Hardcore Gamers,75.71,24529,324
Technology/Mobile Enthusiasts,82.28,26493,322
Media & Entertainment/Light TV Viewers,91.5,27266,298
Shoppers/Luxury Shoppers,68.53,20148,294
Lifestyles & Hobbies/Business Professionals,59.54,16254,273
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,71.15,17290,243
Shoppers/Shopaholics,69.32,16360,236
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,72.47,16886,233
Lifestyles & Hobbies/Shutterbugs,71.05,16341,230
Media & Entertainment/Comics & Animation Fans,98.06,20788,212
Banking & Finance/Avid Investors,59.07,12463,211
Beauty & Wellness/Frequently Visits Salons,74.31,15159,204
Lifestyles & Hobbies/Thrill Seekers,62.7,12603,201
Sports & Fitness/Health & Fitness Buffs,69.09,13404,194
Travel/Business Travelers,59.64,11093,186
Media & Entertainment/Gamers/Shooter Game Fans,79.58,13688,172
Media & Entertainment/Gamers/Casual & Social Gamers,82.92,12604,152
Media & Entertainment/Gamers/Action Game Fans,91.15,13763,151
Lifestyles & Hobbies/Outdoor Enthusiasts,68.65,10298,150
Lifestyles & Hobbies/Nightlife Enthusiasts,80.36,11893,148
Travel/Travel Buffs,41.6,5367,129
Shoppers/Bargain Hunters,82.49,10559,128
Food & Dining/Foodies,102.42,13007,127
Lifestyles & Hobbies/Pet Lovers,62.66,7833,125
Media & Entertainment/Gamers/Roleplaying Game Fans,115.8,14243,123
Shoppers/Shoppers by Store Type/Department Store Shoppers,81.63,9959,122
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,50.41,5444,108
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,126.27,13511,107
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,90.38,9309,103
Sports & Fitness/Sports Fans/American Football Fans,111.52,9702,87
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,117.9,9904,84
Sports & Fitness/Sports Fans/Basketball Fans,94.49,7748,82
Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,89.93,7284,81
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,129.62,9592,74
Food & Dining/Coffee Shop Regulars,58.13,3953,68
Media & Entertainment/Music Lovers/Pop Music Fans,149.02,9686,65
News & Politics/Avid News Readers,41.29,2601,63
Food & Dining/Cooking Enthusiasts,95.19,5521,58
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,35.86,2080,58
Lifestyles & Hobbies/Frequently Attends Live Events,58,3016,52
Media & Entertainment/TV Lovers,124.3,5842,47
