"Result","eerr.1","eerr.2","eerr.3","eerr.4","eerr.5","eerr.6","eerr.7","eerr.8","eerr.9","eerr.10","eerr.11","eerr.12","eerr.13","ssen.V1","ssen.V2","ssen.V3","ssen.b.mat","ssen.V5","ssen.V6","ssen.V7","ssen.V8","ssen.V9","ssen.V10","ssen.V11","ssen.V12","ssen.V13","sspc.V1","sspc.V2","sspc.V3","sspc.b.mat","sspc.V5","sspc.V6","sspc.V7","sspc.V8","sspc.V9","sspc.V10","sspc.V11","sspc.V12","sspc.V13","aacc.V1","aacc.V2","aacc.V3","aacc.b.mat","aacc.V5","aacc.V6","aacc.V7","aacc.V8","aacc.V9","aacc.V10","aacc.V11","aacc.V12","aacc.V13"
"c1.17","1000"," 5","200","0.3406250","0.2767500","0.3040500","0.3571250","0.3898724","0.3040500","0.3468250","0.3105250","0.2895750","0.2983750","1000"," 5","200"," 5","4.36","3.97","3.39","2.41","3.97","2.21","3.45","4.06","3.74","1000"," 5","200","0","10.82","4.05","0.04","0.00","4.05"," 3.23"," 4.96"," 8.31"," 7.35","1000"," 5","200","1","0","0.03","0.06","0.01","0.03","0.00","0.00","0.00","0.00"
"c1.17","1000"," 5","400","0.3330250","0.2929000","0.3103625","0.3371625","0.3569625","0.3103625","0.3283750","0.3161250","0.3020000","0.3060500","1000"," 5","400"," 5","4.77","4.54","4.30","3.59","4.54","3.05","4.04","4.54","4.33","1000"," 5","400","0","12.67","3.53","0.00","0.00","3.53"," 5.24"," 6.55"," 9.56"," 8.38","1000"," 5","400","1","0","0.10","0.40","0.08","0.10","0.00","0.01","0.00","0.00"
"c1.17","1000"," 5","600","0.3354667","0.3076083","0.3193833","0.3355417","0.3494750","0.3193833","0.3264417","0.3227583","0.3129500","0.3160750","1000"," 5","600"," 5","4.92","4.81","4.64","4.12","4.81","3.64","4.44","4.84","4.70","1000"," 5","600","0","11.58","3.05","0.00","0.00","3.05"," 6.11"," 6.61"," 8.85"," 7.73","1000"," 5","600","1","0","0.29","0.64","0.22","0.29","0.00","0.01","0.03","0.04"
"c1.17","1000"," 5","800","0.3390500","0.3142063","0.3257563","0.3364750","0.3456187","0.3257563","0.3289563","0.3271625","0.3196438","0.3223000","1000"," 5","800"," 5","4.98","4.86","4.76","4.30","4.86","3.98","4.54","4.85","4.73","1000"," 5","800","0","13.77","3.06","0.00","0.00","3.06"," 6.71"," 7.76","10.06"," 8.34","1000"," 5","800","1","0","0.38","0.76","0.34","0.38","0.01","0.01","0.01","0.02"
"c1.17","1000","10","200","0.2316250","0.1858500","0.2072250","0.2632750","0.3192250","0.2072250","0.2500000","0.2182250","0.1966750","0.2035500","1000","10","200","10","7.44","6.51","5.57","3.73","6.51","3.67","5.29","6.57","6.21","1000","10","200","0","14.07","5.78","0.04","0.00","5.78"," 3.93"," 6.75","11.09","10.04","1000","10","200","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"c1.17","1000","10","400","0.2235375","0.1959250","0.2056250","0.2337250","0.2601500","0.2056250","0.2261750","0.2168250","0.2025500","0.2028250","1000","10","400","10","8.79","8.02","7.43","5.93","8.02","4.84","6.84","8.10","8.04","1000","10","400","0","15.36","6.55","0.01","0.01","6.55"," 7.42"," 7.97","12.74","12.64","1000","10","400","1","0","0.01","0.00","0.00","0.01","0.00","0.00","0.00","0.00"
"c1.17","1000","10","600","0.2216167","0.2030333","0.2108750","0.2264000","0.2437333","0.2108750","0.2228417","0.2176000","0.2076667","0.2083917","1000","10","600","10","9.35","8.78","8.45","7.25","8.78","5.76","7.70","8.92","8.76","1000","10","600","0","15.00","5.34","0.01","0.00","5.34"," 9.03"," 8.59","11.64","11.34","1000","10","600","1","0","0.01","0.13","0.00","0.01","0.00","0.00","0.00","0.00"
"c1.17","1000","10","800","0.2196750","0.2036563","0.2094062","0.2221188","0.2348938","0.2094062","0.2182250","0.2151187","0.2077063","0.2086938","1000","10","800","10","9.60","9.36","9.03","7.96","9.36","6.19","8.01","9.11","8.92","1000","10","800","0","15.40","4.86","0.01","0.00","4.86"," 8.70","10.11","12.72","12.05","1000","10","800","1","0","0.01","0.28","0.03","0.01","0.00","0.00","0.00","0.00"
"c1.17","2000"," 5","200","0.3460250","0.2724000","0.3106000","0.3611000","0.4016071","0.3106000","0.3466500","0.3046750","0.2840250","0.2990250","2000"," 5","200"," 5","4.21","3.71","3.30","2.13","3.71","2.13","3.29","3.90","3.50","2000"," 5","200","0","12.74","3.46","0.01","0.00","3.46"," 4.19"," 7.40","10.19"," 8.42","2000"," 5","200","1","0","0.04","0.07","0.01","0.04","0.00","0.00","0.00","0.00"
"c1.17","2000"," 5","400","0.3343500","0.2946375","0.3134250","0.3418625","0.3618250","0.3134250","0.3301875","0.3161125","0.3030750","0.3084000","2000"," 5","400"," 5","4.74","4.51","4.03","3.30","4.51","3.00","3.99","4.39","4.25","2000"," 5","400","0","13.25","3.81","0.00","0.00","3.81"," 5.47"," 7.22","10.18"," 8.86","2000"," 5","400","1","0","0.11","0.22","0.02","0.11","0.00","0.00","0.00","0.00"
