GEOTYPE|ST|GEOCOMP|GEO_ID|GEO_TTL|GEO_ID_F|NAICS2017|NAICS2017_TTL|NAICS2017_F|SECTOR|YEAR|FIRM|FIRM_F|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F|EMPQ1PW|EMPQ1PW_F|EMPQ2PW|EMPQ2PW_F|EMPQ3PW|EMPQ3PW_F|EMPQ4PW|EMPQ4PW_F|HOURS|HOURS_F|PAYANPW|PAYANPW_F|CSTMTOT|CSTMTOT_F|CSTMPRT|CSTMPRT_F|CSTRSL|CSTRSL_F|CSTFU|CSTFU_F|CSTELEC|CSTELEC_F|CSTCNT|CSTCNT_F|ELECPCH|ELECPCH_F|ELECGEN|ELECGEN_F|ELECSLD|ELECSLD_F|VALADD|VALADD_F|INVTOTB|INVTOTB_F|INVFINB|INVFINB_F|INVWIPB|INVWIPB_F|INVMATB|INVMATB_F|INVTOTE|INVTOTE_F|INVFINE|INVFINE_F|INVWIPE|INVWIPE_F|INVMATE|INVMATE_F|RPTOT|RPTOT_F|RPBLD|RPBLD_F|RPMCH|RPMCH_F|PCHTT|PCHTT_F|PCHTEMP|PCHTEMP_F|PCHCMPQ|PCHCMPQ_F|PCHEXSO|PCHEXSO_F|PCHDAPR|PCHDAPR_F|PCHCSVC|PCHCSVC_F|PCHRPR|PCHRPR_F|PCHRFUS|PCHRFUS_F|PCHADVT|PCHADVT_F|PCHPRTE|PCHPRTE_F|PCHTAX|PCHTAX_F|PCHOEXP|PCHOEXP_F
01|00|00|0100000US|United States||31-33|Manufacturing||31|2017|248599||291263||5587964318||670506444||168570437||11557981||8208472||8284564||8301384||8294701||16085530||387934853||3121393317||2840391284||142548486||32683350||50906445||54863752||762229311||110635186||29761648||2482268125||614291549||225695552||177140002||211455995||640767044||235874686||182657992||222234366||37154092||25987144||11166948||385629420||39367734||5575260||4759092||5958240||5457975||52740387||14611225||18054187||34368325||19918194||184818801|
01|00|00|0100000US|United States||311|Food manufacturing||31|2017|23072||27453||784152808||67208139||16414037||1501220||1210399||1227754||1246809||1231564||2418060||47375980||489887151||462664271||15505733||3517275||5628019||2571853||73254836||2413637||259263||294844505||53917066||28492577||5893016||19531473||55079033||28930399||6034042||20114592||4255918||2623958||1631960||43179147||4738432||307957||204181||230055||392582||6575686||2559980||4376193||2624051||1733175||19436855|
01|00|00|0100000US|United States||3111|Animal food manufacturing||31|2017|1162||1798||55217673||2825218||724449||50256||36352||36318||36539||36844||75778||1851599||37345932||35165785||1356706||191654||361465||270322||4508043||1547||0|D|17891957||3446270||1718812||221618||1505840||3602193||1745244||215402||1641547||160384||94488||65896||2158425||181095||18352||11804||7556||31523||406930||80816||115803||123911||117235||1063400|
01|00|00|0100000US|United States||31111|Animal food manufacturing||31|2017|1162||1798||55217673||2825218||724449||50256||36352||36318||36539||36844||75778||1851599||37345932||35165785||1356706||191654||361465||270322||4508043||1547||0|D|17891957||3446270||1718812||221618||1505840||3602193||1745244||215402||1641547||160384||94488||65896||2158425||181095||18352||11804||7556||31523||406930||80816||115803||123911||117235||1063400|
01|00|00|0100000US|United States||311111|Dog and cat food manufacturing||31|2017|313||396||23415287||1349236||357277||22451||17846||17819||17936||18091||38633||1014780||12615787||11804533||435091||70208||107205||198750||1285585||0||0||10869980||1168762||608900||23196||536666||1261980||672447||30129||559404||50808||31315||19493||916884||93847||6243||4605||2924||10820||157780||37446||76138||61985||49397||415699|
01|00|00|0100000US|United States||311119|Other animal food manufacturing||31|2017|858||1402||31802386||1475982||367172||27805||18506||18499||18603||18753||37145||836819||24730145||23361252||921615||121446||254260||71572||3222458||1547||0|D|7021977||2277508||1109912||198422||969174||2340213||1072797||185273||1082143||109576||63173||46403||1241541||87248||12109||7199||4632||20703||249150||43370||39665||61926||67838||647701|
01|00|00|0100000US|United States||3112|Grain and oilseed milling||31|2017|551||895||86140023||3313414||798539||54436||42116||42167||42490||42298||88834||2282300||62860006||56497632||4620944||672481||845589||223360||12886249||1268594||172499||23403791||5666612||2656782||378885||2630945||5635100||2755747||403694||2475659||247981||109109||138872||2700129||154285||35102||6776||17066||19707||577906||249719||60280||147352||145503||1286433|
01|00|00|0100000US|United States||31121|Flour milling and malt manufacturing||31|2017|293||460||16568750||1049113||244739||19113||14637||14730||14936||14869||30645||711174||11288170||10693625||0|D|70579||228856||0|D|3160621||0|D|0|D|5332119||1751456||594238||85429||1071789||1723598||647772||83434||992392||80114||39810||40304||748565||61383||6537||2561||2580||6794||138762||30720||39487||34615||46886||378240|
01|00|00|0100000US|United States||311211|Flour milling||31|2017|208||337||11631961||732321||173473||13073||9955||10020||9966||9917||20609||504604||7993004||7603067||167938||35010||160838||26151||2170599||0|D|0|D|3677154||954418||251187||36577||666654||954703||297450||28511||628742||53644||21101||32543||477760||39477||3418||1786||1878||4640||91924||14511||12226||26288||30011||251601|
01|00|00|0100000US|United States||311212|Rice milling||31|2017|59||80||3555923||252073||58597||5058||3991||4004||4275||4278||8610||164021||2455475||2308432||83069||0|D|46674||0|D|694472||0|D|0||1134277||475452||172372||34168||268912||482773||197280||43089||242404||20041||14289||5752||210173||17049||2587||0|D|0|D|1993||39347||6512||27121||6537||11019||96655|
01|00|00|0100000US|United States||311213|Malt manufacturing||31|2017|30||43||1380866||64719||12669||982||691||706||695||674||1426||42549||839691||782126||0|D|0|D|21344||71||295550||0|D|0||520688||321586||170679||14684||136223||286122||153042||11834||121246||6429||4420||2009||60632||4857||532||0|D|0|D|161||7491||9697||140||1790||5856||29984|
01|00|00|0100000US|United States||31122|Starch and vegetable fats and oils manufacturing||31|2017|209||349||59685375||1439068||338300||22095||16017||15945||15962||16039||34641||904602||45821176||40235872||4327223||542245||529705||186131||8428528||0|D|0|D|13943079||3624443||1987141||272494||1364808||3627705||2038586||299929||1289190||157206||63468||93738||1676272||59903||27132||2745||12396||11081||383414||196654||12481||97015||76154||797297|
01|00|00|0100000US|United States||311221|Wet corn milling||31|2017|36||72||9767197||501527||112349||6453||4009||4027||3983||3991||8876||305793||6292302||5569992||0|D|277638||295923||0|D|4889671||1219019||150001||3388136||691449||390676||53566||247207||603810||317211||40272||246327||62248||30095||32153||671209||22640||5329||754||6925||4202||163679||115859||3497||43471||30418||274435|
01|00|00|0100000US|United States||311224|Soybean and other oilseed processing||31|2017|100||174||39716527||565721||133147||9442||7122||7129||7264||7257||14812||369850||31996588||27372485||0|D|0|D|0|D|0|D|3012511||0|D|0|D|7862563||2068970||1241606||115207||712157||2152837||1356921||142516||653400||45794||12816||32978||590811||20532||9251||1359||2402||4411||170779||59741||4177||32484||32988||252687|
01|00|00|0100000US|United States||311225|Fats and oils refining and blending||31|2017|81||103||10201651||371820||92804||6200||4886||4789||4715||4791||10953||228959||7532286||7293395||0|D|0|D|0|D|0|D|526346||17569||0|D|2692380||864024||354859||103721||405444||871058||364454||117141||389463||49164||20557||28607||414252||16731||12552||632||3069||2468||48956||21054||4807||21060||12748||270175|
01|00|00|0100000US|United States||31123|Breakfast cereal manufacturing||31|2017|59||86||9885898||825233||215500||13228||11462||11492||11592||11390||23548||666524||5750660||5568135||0|D|59657||87028||0|D|1297100||0||0|D|4128593||290713||75403||20962||194348||283797||69389||20331||194077||10661||5831||4830||275292||32999||1433||1470||2090||1832||55730||22345||8312||15722||22463||110896|
01|00|00|0100000US|United States||311230|Breakfast cereal manufacturing||31|2017|59||86||9885898||825233||215500||13228||11462||11492||11592||11390||23548||666524||5750660||5568135||0|D|59657||87028||0|D|1297100||0||0|D|4128593||290713||75403||20962||194348||283797||69389||20331||194077||10661||5831||4830||275292||32999||1433||1470||2090||1832||55730||22345||8312||15722||22463||110896|
01|00|00|0100000US|United States||3113|Sugar and confectionery product manufacturing||31|2017|1767||1942||37683023||3770865||908984||83927||63427||61983||65120||67118||119536||2511821||21097325||19511532||659162||387153||332556||206922||4518909||566750||0|D|16576633||5016427||2766127||514459||1735841||5019008||2748488||523033||1747487||467840||340559||127281||3540029||297408||15413||20699||10787||23947||376781||98269||676723||457667||126676||1435659|
01|00|00|0100000US|United States||31131|Sugar manufacturing||31|2017|46||82||10287962||749146||185606||14297||11872||10725||12546||13653||24715||559632||6846230||6226736||174037||303339||118018||24100||1657850||0|D|0|D|3311197||2291938||1394055||231133||666750||2128327||1263874||230779||633674||143676||90519||53157||1186717||28461||0|D|0|D|0|D|4343||171317||42988||0|D|200828||66981||362945|
01|00|00|0100000US|United States||311313|Beet sugar manufacturing||31|2017|13||30||3768964||318547||86418||7039||6209||5712||7429||7261||12019||250364||2213877||1880075||0|D|188958||0|D|913||883802||0|D|0|D|1400758||1281985||714081||145862||422042||1082906||551380||154234||377292||22201||10693||11508||609487||0|D|725||424||304||0|D|62357||0|D|0|D|161022||11079||48212|
01|00|00|0100000US|United States||311314|Cane sugar manufacturing||31|2017|36||52||6518998||430599||99188||7258||5663||5013||5117||6392||12696||309268||4632353||4346661||0|D|114381||0|D|23187||774048||102442||0||1910439||1009953||679974||85271||244708||1045421||712494||76545||256382||121475||79826||41649||577230||0|D|0|D|0|D|0|D|0|D|108960||0|D|0|D|39806||55902||314733|
01|00|00|0100000US|United States||31134|Nonchocolate confectionery manufacturing||31|2017|491||516||10026315||1134541||273448||23745||18275||18036||18153||17777||34332||693996||4718188||4378671||105851||34268||93523||105875||1325024||0|D|0||5348539||900763||424332||93282||383149||902422||461062||96964||344396||138621||101993||36628||1228525||127983||6809||0|D|0|D|8547||80676||23013||294770||197162||22417||458334|
01|00|00|0100000US|United States||311340|Nonchocolate confectionery manufacturing||31|2017|491||516||10026315||1134541||273448||23745||18275||18036||18153||17777||34332||693996||4718188||4378671||105851||34268||93523||105875||1325024||0|D|0||5348539||900763||424332||93282||383149||902422||461062||96964||344396||138621||101993||36628||1228525||127983||6809||0|D|0|D|8547||80676||23013||294770||197162||22417||458334|
01|00|00|0100000US|United States||31135|Chocolate and chocolate confectionery manufacturing||31|2017|1242||1344||17368746||1887178||449930||45885||33280||33222||34421||35688||60489||1258193||9532907||8906125||379274||49546||121015||76947||1536035||0|D|0|D|7916897||1823726||947740||190044||685942||1988259||1023552||195290||769417||185543||148047||37496||1124787||140964||0|D|13022||0|D|11057||124788||32268||0|D|59677||37278||614380|
