VAR00002,VAR00003,¼ºº°,ÇÐ·Â,°áÈ¥¿©ºÎ,ÀÚ³à¿©ºÎ,°ÅÁÖÇüÅÂ,Á¾±³,Å°¿î±â°£,¹Ý·Áµ¿¹°³ªÀÌ,»ó½ÇÈÄ°æ°ú±â°£,»ó½ÇÈÄ°æ°ú½Ã°£,¹Ý·Áµ¿¹°Á¾·ù,¹Ý·Áµ¿¹°Ä£¹Ðµµ,»ó½Ç¿¹Ãø°¡´É¼º,»ó½Ç¿øÀÎ,µÎ¹øÂ°»ó½Ç¿øÀÎ¼ýÀÚ,Ltotal,¾È¶ô»çÀÌÀ¯,ÀÓÁ¾½Ãµ¿Çà¿©ºÎ,¹Ý·Áµ¿¹°°ü°è,Á¤½Å°úÁø·á,±×³ÉÁ¤½Å°úÁø·á,Áø·á³»¿ë,ÁöÁöÀÚ¿ø,ÀÌÀü»ó½Ç°æÇè,»ó½Ç¸¶¸®¼ö,ÇÊÅÍ¸µ¼öµµÁú¹®,´Ù¸¥¹Ý·Áµ¿¹°¼ýÀÚ,´Ù¸¥µ¿¹°º¸À¯¿©ºÎ,º¸À¯¸¶¸®¼ö,»õ·Î¿îÀÔ¾ç¿©ºÎ,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,ÇÊÅÍ¸µ1,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,G12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,Âü°¡ÀÚÁ¦°Å,Stotal,SxL,filter_$,Ctotal,Gtotal,Ä£¹Ðµµ¼ýÀÚ1,¼ºº°¼ýÀÚ,¿¹Ãø°¡´É¼º¼ýÀÚ,ÇÐ·Â¼ýÀÚ,°áÈ¥¿©ºÎ¼ýÀÚ,ÀÚ³à¿©ºÎ¼ýÀÚ,°ÅÁÖÇüÅÂ¼ýÀÚ,Á¾±³¼ýÀÚ,ÁöÁöÀÚ¿ø¼ýÀÚ,ÀÓÁ¾½Ãµ¿Çà¼ýÀÚ,¹Ý·Áµ¿¹°Á¾·ù¼ýÀÚ,»ó½Ç¿øÀÎ¼ýÀÚ,¹Ý·ÁÁ¤½Å°ú¼ýÀÚ,±×³ÉÁ¤½Å°ú¼ýÀÚ,»õÀÔ¾ç¼ýÀÚ,Lmd,Smd,LmdxSmd,¹Ý·Áµ¿¹°°ü°è¼ýÀÚ,ÀÌÀü»ó½Ç¼ýÀÚ,»ó½ÇÀÇÃæ°Ý°úÈ¥¶õ,»ó½ÇÀÇ°íÅë1,º¹ÇÕºÐ¸®°íÅë,º¹ÇÕ¿Ü»ó°íÅë,Ãæ°ÝLmd,°íÅë1md,°íÅë1mdxSmd,Ãæ°ÝLmdxSmd,¿¬·É´ë,Ctotalrr,°áÈ¥2,ÂðºÐ¸®°íÅë,Âð¿Ü»ó°íÅë
2019/12/25 1:55:55 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,11,11,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,72, ,¿¹,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,¿Â¶óÀÎ Ä¿¹Â´ÏÆ¼,ÀÖÀ,3¸¶,1,1,¿¹,2¸¶,¿¹,5,4,4,4,4,5,5,5,4,4,4,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,5,4,3,3,4,3,3,3,2,3,3,3,2,2,3,1,4,2,4,4,4,4,3,3,3,3,4,0°³¿ù,6,¿¹,4,4,4,4,5,4,4,4,4,3,4,4,1,45,3240,1,96,48,5,1,2,2,1,1,1,1,2,2,1,2,1,1,2,7.44880000000001,13.0878,97.4884046400001,1,1,35,32,52,46,2.1707,4.3561,57.01176558,28.40968746,5,98,1,21,34
2020/01/09 8:36:26 ¿ÀÀü GMT+,¿,³²,´ëÇÐ±³,±â,¾øÀ,°¡Á·°ú ÇÔ,±âµ,3,3,2,2,°í¾,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,34, ,¿¹,Ä£±¸,¾Æ´,¾Æ´, ,¾øÀ½,ÀÖÀ,1¸¶,1,1,¿¹,1¸¶,¾Æ´,4,2,1,1,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,6,¾Æ´,3,1,1,1,3,1,1,3,5,3,4,3,1,16,544,1,35,29,5,1,2,2,2,1,2,2,1,2,2,2,1,1,1,-30.5512,-15.9122,486.13680464,2,1,21,12,19,16,-11.8293,-15.6439,248.92886558,188.23018746,3,35,2,8,12
2020/01/22 6:54:52 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,±â,ÀÖÀ,°¡Á·°ú ÇÔ,±âµ,10,10,2,2,°í¾,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,52, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,¹è¿ìÀÚ,ÀÖÀ,1¸¶,1,1,¿¹,1¸¶,¾Æ´,5,2,4,4,5,5,5,4,2,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,3,3,4,1,1,1,2,2,2,3,2,4,4,3,1,3,1,2,1,2,2,2,3,2,1,4,1,2,2,3,2,2,2,1,1,2,1,3,0,6,¾Æ´,3,2,3,3,3,4,4,4,4,2,4,4,1,24,1248,1,62,40,5,1,2,2,2,2,2,2,2,1,2,2,1,1,1,-12.5512,-7.9122,99.3076046399999,2,1,32,16,32,33,-.829300000000003,-11.6439,92.12886558,6.56158746000003,3,65,2,16,26
2020/01/01 9:24:41 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,±â,¾øÀ,°¡Á·°ú ÇÔ,¹«±,8,8,1,0,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,80, ,¿¹,ÇüÁ¦/ÀÚ¸,¾Æ´,¿¹, ,"ÇüÁ¦, ÀÚ¸Å,³²¸Å;Ä£±¸",¾øÀ, ,1,1,¿¹,1¸¶,¾Æ´,5,5,5,5,5,5,5,5,5,4,4,4,1,5,1,3,2,5,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,4,5,4,4,5,5,1,5,5,5,4,3,3,1,1,5,1,5,4,5,5,5,5,1,1,5,1,5,Áï½Ã,1,¿¹,5,3,3,5,4,5,4,4,4,1,3,4,2,17,1360,0,112,45,5,1,2,2,2,1,2,1,2,2,1,2,1,2,1,15.4488,-14.9122,-230.37559536,3,2,40,35,59,57,7.1707,7.3561,-109.69563442,-106.93091254, ,116,2,23,48
2020/01/01 3:45:22 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,2,3,2,5,°³,3,"2, °©ÀÛ½º·",»ç°í,3,61, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,1,¿¹,1¸¶,¾Æ´,4,4,4,5,5,5,5,2,4,2,2,2,2,2,2,2,2,1,1,1,4,3,3,2,3,3,2,3,2,2,1,3,1,2,2,2,3,2,2,2,4,3,3,2,3,3,3,2,3,2,3,4,2,2,4,1,2,2,2,3,2,4,3,2,2,2,2,Áï½Ã,1,¾Æ´,3,2,2,3,3,3,3,3,3,2,3,3,1,34,2074,1,75,33,3,1,2,2,1,1,2,1,2,1,1,3,1,1,1,-3.55119999999999,2.0878,-7.41419535999999,3,2,36,23,43,35,3.1707,-4.6439,-9.69553442,6.61978746,2,78,1,13,32
2020/01/04 1:51:19 ¿ÀÀü GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,16,16,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",»ç°í,3,66, ,¿¹,Ä£±¸,¾Æ´,¾Æ´, ,ºÎ¸ð;Ä£±¸;´Ù¸¥ ¹Ý·Áµ,¾øÀ, ,1,1,¿¹,1¸¶,¿¹,5,4,4,4,5,5,5,4,4,2,1,1,1,1,3,1,1,2,5,4,4,2,3,3,3,3,2,3,2,2,3,3,2,3,3,3,1,1,1,3,4,4,4,4,2,1,1,1,1,1,4,4,2,1,3,1,2,2,2,2,2,5,2,1,1,1,1,Áï½Ã,12,¿¹,3,3,4,3,3,4,4,3,4,3,4,3,1,40,2640,1,62,41,5,1,2,2,1,1,2,1,2,2,1,3,1,1,2,1.44880000000001,8.0878,11.71760464,2,2,36,26,32,32,3.1707,-1.6439,-13.29553442,25.64398746,3,64,1,12,27
2020/01/09 3:53:59 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ¿ø,±â,¾øÀ,°¡Á·°ú ÇÔ,¹«±,0,1,2,2,°í¾,¸Å¿ì Ä£,"2, °©ÀÛ½º·",Áß¼ºÈ,3,85, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,1,¿¹,1¸¶,¿¹,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4,5,5,4,3,5,3,3,2,2,4,2,2,3,3,5,1,5,4,4,4,4,4,4,3,4,4,4,0°³¿ù,100,¿¹,2,2,2,3,2,3,3,3,3,1,3,3,1,45,3825,1,109,30,5,1,2,3,2,1,2,1,2,1,2,3,1,1,2,20.4488,13.0878,267.62980464,3,2,40,40,59,54,7.1707,12.3561,161.71416558,93.84868746,5,113,2,23,45
2019/12/19 3:18:32 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,18,18,2,5,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­,4,46, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",ÀÖÀ,3¸¶,1,1,¿¹,4¸¶,¿¹,5,2,3,3,4,5,3,4,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,2,1,3,4,1,1,4, ,3,1,1,4,2,3,1,1,2,1,1,´çÀÏ,2,¾Æ´,4,4,4,3,4,3,4,4,5,2,5,4,2,16,736,0, ,46,5,1,1,2,1,1,2,1,2,1,1,4,1,1,2,-18.5512,-15.9122,295.19040464,3,1,28,14,25,27,-4.8293,-13.6439,217.10446558,76.84478746,2,52,1,8,19
2019/12/31 11:27:57 ¿ÀÈÄ GMT,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,17,17,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­,4,48, ,¿¹,Ä£±¸,¾Æ´,¾Æ´, ,¾øÀ½,ÀÖÀ,6¸¶,1,1,¿¹,3¸¶,¿¹,4,4,4,4,4,5,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,4,4,2,2,3,1,1,1,3,2,4,4,1,1,4,1,2,1,2,2,1,2,1,1,1,1,1,0,3,¾Æ´,3,3,3,3,3,3,3,3,3,4,3,4,1,19,912,1,53,38,5,1,1,2,1,1,2,1,1,2,1,4,1,1,2,-16.5512,-12.9122,213.71240464,2,1,31,14,27,29,-1.8293,-13.6439,176.17276558,23.62028746,3,56,1,12,23
2020/01/12 9:41:33 ¿ÀÀü GMT+,¿,³²,´ëÇÐ¿ø,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,ÃµÁ,13,15,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",¸¸¼º,1,61, ,¾Æ´,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",ÀÖÀ,1¸¶,1,2,¾Æ´, ,¾Æ´,5,5,3,3,5,5,5,5,5,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,2,2,2,2,2,2,2,2,2,4,2,1,3,1,5,1,2,2,2,2,2,2,2,2,2,0°³¿ù,7,¾Æ´,3,3,3,2,3,3,3,3,3,3,3,3,1,30,1830,1,66,35,5,1,1,3,1,1,1,2,2,1,1,1,1,1,1,-3.55119999999999,-1.9122,6.79060463999998,1,1,36,20,37,31,3.1707,-7.6439,14.61666558,-6.06301253999999,4,68,1,14,24
2019/12/26 10:40:35 ¿ÀÀü GMT,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,13,14,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",±Þ¼º,2,81, ,¿¹,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,¿Â¶óÀÎ Ä¿¹Â´ÏÆ¼,ÀÖÀ,1¸¶,1,2,¾Æ´, ,¾Æ´,5,4,4,4,5,5,5,5,5,4,3,3,3,3,4,1,4,3,2,5,4,4,4,1,4,3,3,4,3,2,3,4,4,4,4,4,4,5,3,2,5,5,2,3,4,2,3,2,1,4,4,4,2,2,4,1,5,3,5,3,5,4,3,2,3,4,4,0°³¿ù,10,¿¹,3,2,2,2,2,4,3,3,3,2,2,3,1,51,4131,1,99,31,5,1,1,2,1,1,1,1,2,2,1,2,1,1,1,16.4488,19.0878,313.97140464,1,1,37,39,52,50,4.1707,11.3561,216.76296558,79.6094874599999,4,102,1,23,34
