"dv"	"group"
17.9	1
18.5	1
14.5	1
12.7	1
18	1
5.9	1
18.2	1
13.6	1
13.6	1
10.4	1
14.4	1
24.1	1
16.9	1
17.6	1
11.2	1
19.1	1
10.6	1
13.3	1
20.6	1
16.5	1
20.9	2
24.3	2
13.8	2
9.2	2
9	2
26	2
14.6	2
20.1	2
20.1	2
16.2	2
21.1	2
28	2
27.2	2
25.2	2
18.3	2
19.5	2
15.4	2
8.7	2
25.8	2
17.1	2
23.6	3
6.1	3
12.7	3
22.7	3
22.3	3
25.3	3
10.9	3
20.8	3
20.9	3
11.5	3
15.3	3
27.7	3
18.3	3
19.8	3
14.6	3
19.4	3
21.5	3
22.1	3
28.7	3
6.3	3
16.7	4
9.3	4
18.8	4
23.9	4
13.1	4
6.8	4
20.4	4
24	4
18.6	4
9.5	4
16.3	4
12.1	4
10.8	4
27.7	4
23	4
20.7	4
20.1	4
11.9	4
18.4	4
21.1	4
